id;name;email;phone;phone_2;logo;address;latitude;longitude;web_site;sme_immatriculation_number;is_client;is_authorized;terms_of_use;is_valid;activity_area_id;sme_house_id
1;engineer Generic internet;"{Q@olA\.10<";0124107800;backing Grands back;methodologies;morph;deposit functionalities;1080p Frozen interface;Gambie motivating;up array;false;false;de;true;1;1
2;withdrawal Specialiste b;"jHs@ti2h2=.Eax";+33 699999295;Consultant Distributed overriding;object-oriented deposit Hat;Administrateur markets;deposit extend data-warehouse;e-business;azure;enterprise;false;false;Fantastic port;true;2;2
3;Frozen hardware Rupee;",@zj.sf6";0306150643;b a Borders;a Metal a;cultivate Small Israël;Shoes proactive Borders;transmit deposit;Rufiyaa Account;Buckinghamshire c;true;false;Producteur;true;3;3
4;quantifying flexibility copying;"]>@Imp.0.K|<";+33 333579070;c;Moroccan;orange FTP;array Administrateur hack;tangible connect Fantastic;deposit Metal Refined;deposit encompassing d'Orsel;true;true;Avon Loire Practical;true;4;4
5;Saint-Séverin back-end a;"^yH.g_@;'qp<_.KL";0101204785;upward-trending;Chips index cutting-edge;Fresh;Assistant Towels;strategize Qatar blue;Designer;JBOD Automotive efficient;false;true;COM b;true;5;5
6;Cap-Vert;":bS['@XO,ln%.#2";+33 737719752;navigate;Borders Executif;Grocery Charlemagne extensible;Administrateur;Sleek;firewall;Gloves Shoes Alsace;false;false;Automotive bluetooth Metal;false;6;6
7;Shirt Éthiopie Centre;"V@]F<.b";+33 142710075;payment bus;deposit;back-end;Towels;synthesize;white relationships invoice;program a Aquitaine;false;true;syndicate;false;7;7
8;software invoice Concrete;"/=@a.U'";+33 249424724;connect;Account panel;Jordanian;fault-tolerant deliver;reciprocal system compressing;payment User;Sleek Lek;true;false;Buckinghamshire;true;8;8
9;24/7 methodology;",a`@dh/$T.;Vb)D";+33 715047862;AGP;Ergonomic HDD Chypre;Rhône-Alpes Progressive;Brazilian Granite;calculating a;Multi-layered sexy Agent;experiences;true;false;Assistant b;true;9;9
10;calculate;"/[xyE@xD]~:v./pwo7";0701489871;Concrete Krona;Auto pixel;action-items;value-added Avon;array calculate;programming b Chair;Concrete;true;false;auxiliary input Programmable;true;10;10
