id;name;address;email;phone;logo;latitude;longitude;sme_house_id
1;Borders;driver port Superviseur;"v_SQH@/2CI'.ah}0Ba";+33 678479635;Jordan Fantastic;streamline middleware;de;1
2;Buckinghamshire;Berkshire interface;"SYm@q\Z._6><";0787628064;Chicken Frozen programming;b system;Streamlined initiatives;2
3;Health;override;"^@x#g.=hW";+33 509152908;Lari;a;GB programming deposit;3
4;Pre-emptive Metal;Tools c;"c?GB>@c)q\.Ip,tg";+33 218184985;São;Switchable;synthesize Fantastic;4
5;blue reboot Savings;white generating Presbourg;".aD]8p@i.r&e";0644383360;contextually-based;a engineer;Multi-layered demand-driven;5
6;Unbranded e-commerce;web-readiness Towels Bahreïn;",[}b@|=>e`w.fg6f";0377062252;Ergonomic;convergence withdrawal web-enabled;gold productize;6
7;open Account neural;paradigms;"a.@IA>;W.&0A,^g";0328705247;d'Abbeville Languedoc-Roussillon;Somalie secured Tuna;Wooden harness;7
8;Generic Unbranded;e-tailers Buckinghamshire Franche-Comté;"W[]0\@E}w.`|";+33 312024550;navigating definition Borders;Fresh multi-byte Bedfordshire;card 1080p Health;8
9;up Music;invoice;"U#-]O@NJda)'.j";+33 788117453;blue c;Ingenieur;a Card;9
10;copying metrics;whiteboard Poitou-Charentes program;"c{k@E<1f.;b1Tj";0588985004;lavender innovate Fantastic;b Handmade up;protocol;10
